ocid,title,url
LLE001-UA-20220105-42095,"ГАРАЖ НА 5 АВТО, РЕМОНТНІ МАЙСТЕРНІ, СКЛАДСЬКІ ПРИМІЩЕННЯ",https://prozorro.sale/auction/LLE001-UA-20220105-42095
LLE001-UA-20220105-73717,"ГАРАЖ НА 5 АВТО, РЕМОНТНІ МАЙСТЕРНІ, СКЛАДСЬКІ ПРИМІЩЕННЯ",https://prozorro.sale/auction/LLE001-UA-20220105-73717
LLE001-UA-20220210-27391,"Державний ощадний банк України, УДППЗ ""Укрпошта, кафе, сауна, Громадська организація",https://prozorro.sale/auction/LLE001-UA-20220210-27391
LLE001-UA-20220221-60537,"СЛУЖБА ПРИГОТУВАННЯ ЇЖІ ЛІКАРНІ",https://prozorro.sale/auction/LLE001-UA-20220221-60537
LLE001-UA-20220706-20565,"ГАРАЖ НА 5 АВТО, РЕМОНТНІ МАЙСТЕРНІ, СКЛАДСЬКІ ПРИМІЩЕННЯ",https://prozorro.sale/auction/LLE001-UA-20220706-20565
LLE001-UA-20220706-94102,"ГАРАЖ НА 5 АВТО, РЕМОНТНІ МАЙСТЕРНІ, СКЛАДСЬКІ ПРИМІЩЕННЯ",https://prozorro.sale/auction/LLE001-UA-20220706-94102
LLE001-UA-20220708-04313,"СТОМАТОЛОГІЧНА ПОЛІКЛІНІКА",https://prozorro.sale/auction/LLE001-UA-20220708-04313
LLE001-UA-20220715-40132,"СТОМАТОЛОГІЧНА ПОЛІКЛІНІКА",https://prozorro.sale/auction/LLE001-UA-20220715-40132
LLE001-UA-20220729-19204,"ЛІКУВАЛЬНИЙ КОРПУС (СТАРИЙ)",https://prozorro.sale/auction/LLE001-UA-20220729-19204
LLE001-UA-20230202-61475,"КОТЕЛЬНЯ",https://prozorro.sale/auction/LLE001-UA-20230202-61475
LLE-001-UA-20230203-95635,"КІНОТЕАТР ""ЛЕЙПЦІГ""",https://prozorro.sale/auction/LLE-001-UA-20230203-95635
LLE001-UA-20230209-28441,"БУДІВЛЯ ПРОДОВОЛЬЧИХ СКЛАДІВ",https://prozorro.sale/auction/LLE001-UA-20230209-28441
LLE001-UA-20230209-53492,"БУДІВЛЯ ДИСПЕТЧЕРСЬКОЇ НА ВАНТАЖНОМУ СКЛАДІ",https://prozorro.sale/auction/LLE001-UA-20230209-53492
LLE001-UA-20230209-96286,"БУДІВЛЯ ВАНТАЖНОГО СКЛАДУ",https://prozorro.sale/auction/LLE001-UA-20230209-96286
LLE001-UA-20230220-47138,"БУДІВЛЯ СХІДНОГО СКЛАДУ № 18-23",https://prozorro.sale/auction/LLE001-UA-20230220-47138
LLE001-UA-20230222-69995,"БУДІВЛЯ ЗАХІДНОГО СКЛАДУ N13-17",https://prozorro.sale/auction/LLE001-UA-20230222-69995
LLE001-UA-20230222-91037,"БАНК",https://prozorro.sale/auction/LLE001-UA-20230222-91037
LLE001-UA-20230309-53950,"ЛІКУВАЛЬНИЙ КОРПУС",https://prozorro.sale/auction/LLE001-UA-20230309-53950
LLE001-UA-20230321-13929,"ВИРОБНИЧА БУДІВЛЯ СЕІКОМ",https://prozorro.sale/auction/LLE001-UA-20230321-13929
LLE001-UA-20230321-40925,"УЧБОВЕ ПРИМІЩЕННЯ",https://prozorro.sale/auction/LLE001-UA-20230321-40925
LLE001-UA-20230321-68320,"БУДИНОК КОНТРОЛЬНО-ПЕРЕПУСКНОГО ПУНКТУ (ЛІТЕРА ""К"")",https://prozorro.sale/auction/LLE001-UA-20230321-68320
LLE001-UA-20230322-61794,"нежитлові приміщення, літ. А",https://prozorro.sale/auction/LLE001-UA-20230322-61794
LLE001-UA-20230330-77043,"УЧБОВЕ ПРИМІЩЕННЯ",https://prozorro.sale/auction/LLE001-UA-20230330-77043
LLE001-UA-20230404-59120,"Будівля центрального теплового пункту",https://prozorro.sale/auction/LLE001-UA-20230404-59120
LLE001-UA-20230405-39129,"АДМІНІСТРАТИВНО-ПОБУТОВИЙ КОРПУС (ЛІТЕРА ""А"")",https://prozorro.sale/auction/LLE001-UA-20230405-39129
LLE001-UA-20230405-44949,"ЦЕНТР СНІДу",https://prozorro.sale/auction/LLE001-UA-20230405-44949
LLE001-UA-20230405-73131,"Нежитлова будівля центрального теплового пункту",https://prozorro.sale/auction/LLE001-UA-20230405-73131
LLE001-UA-20230406-80769,"Побутокого обслуговування",https://prozorro.sale/auction/LLE001-UA-20230406-80769
LLE001-UA-20230411-39133,"Будівля центрального теплового пункту",https://prozorro.sale/auction/LLE001-UA-20230411-39133
LLE001-UA-20230413-71728,"БУДИНОК ПОСТУ ПРОФІЛАКТОРІЮ (ЛІТЕРА ""Е"")",https://prozorro.sale/auction/LLE001-UA-20230413-71728
LLE001-UA-20230420-86727,"Спортивний майданчик iз стендом ""Стелла""",https://prozorro.sale/auction/LLE001-UA-20230420-86727
LLE001-UA-20230424-07347,"ДИСПЕТЧЕРСЬКИЙ ПУНКТ",https://prozorro.sale/auction/LLE001-UA-20230424-07347
LLE001-UA-20230510-75592,"КОНТРОЛЬНО-ПРОПУСКНИЙ ПУНКТ",https://prozorro.sale/auction/LLE001-UA-20230510-75592
LLE001-UA-20230712-66155,"ТЕАТР",https://prozorro.sale/auction/LLE001-UA-20230712-66155
LLE001-UA-20230801-69199,"УЧБОВЕ ПРИМІЩЕННЯ",https://prozorro.sale/auction/LLE001-UA-20230801-69199
LLE001-UA-20230802-50315,"АДМІНІСТРАТИВНИЙ КОРПУС",https://prozorro.sale/auction/LLE001-UA-20230802-50315
