ocid,title,url
7001,"нежитлове приміщення в житловому (СХОВИЩЕ-106,4 КВ.М, ПІДВАЛ-116,1 КВ.М,ПІДВАЛ-65,8 (ДОГОВІР ОРЕНДИ)",https://prozorro.sale/planning/RGL001-UA-20240322-50142
7019,"СТОМАТОЛОГІЧНА ПОЛІКЛІНІКА",https://prozorro.sale/auction/LLE001-UA-20250313-98334
7025,"ПОЛІКЛІНІКА",https://prozorro.sale/auction/LLE001-UA-20250313-79663
7033,null,https://prozorro.sale/planning/RGL001-UA-20250418-55752
7045,"БУДЬ-ЯКИМ ЦІЛЬОВИМ ПРИЗНАЧЕННЯМ",https://prozorro.sale/planning/RGL001-UA-20211019-03991
7063,"нежитлове приміщення в житловому",https://prozorro.sale/planning/RGL001-UA-20231129-54698
7064,"окремостояча (БПО",https://prozorro.sale/planning/RGL001-UA-20250223-04610
7093,"СМІТТЄЗБІРНИК",https://prozorro.sale/planning/RGL001-UA-20250305-63337
7095,"Композиція вхідної групи",https://prozorro.sale/auction/LLE001-UA-20250502-91031
7100,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/planning/RGLA001-UA-20250505-29764
7107,"окремостояча (ЖЕД-208)",https://prozorro.sale/planning/RGL001-UA-20240221-53494
7108,"окремостояча (ЖЕД-208)",https://prozorro.sale/planning/RGL001-UA-20230414-14746
7109,"окремостояча (ЖЕД-208)",https://prozorro.sale/planning/RGL001-UA-20230414-42485
7110,"окремостояче (ЖЕД-208)",https://prozorro.sale/planning/RGL001-UA-20230414-02662
7111,"окремостояче (ЖЕД-208)",https://prozorro.sale/planning/RGL001-UA-20250311-88179
7172,"МЕДИЧНІ ПОСЛУГИ",https://prozorro.sale/planning/RGL001-UA-20250513-05629
7174,"СМІТТЄЗБІРНИК",https://prozorro.sale/planning/RGL001-UA-20250402-58797
7184,"нежитлове в житловому",https://prozorro.sale/planning/RGL001-UA-20230414-62817
7185,"нежитлове приміщення в житловому",https://prozorro.sale/planning/RGL001-UA-20250404-39566
7188,"приміщення в нежитловій окремостоячій будівлі",https://prozorro.sale/planning/RGL001-UA-20220131-29099
7201,"Лікувально-профілактичні",https://prozorro.sale/planning/RGL001-UA-20250328-27747
7207,"СМІТТЄЗБІРНИК",https://prozorro.sale/planning/RGL001-UA-20220106-64372
7217,"Лікувально-профілактичні",https://prozorro.sale/planning/RGL001-UA-20250424-22351
7225,"ЛІКУВАЛЬНИЙ КОРПУС",https://prozorro.sale/auction/LLE001-UA-20250502-09293
7226,"нежитлове приміщення, підвал",https://prozorro.sale/planning/RGL001-UA-20250502-37691
7235,null,https://prozorro.sale/planning/RGL001-UA-20240131-25187
7250,"ЛІЦЕЙ № 230",https://prozorro.sale/planning/RGL001-UA-20250527-96048
