buildingId,isPartOf,buildingTitle,kind,type,description,ownercustodianName,ownercustodianId,balanceHolderName,balanceHolderId,userName,userId,dk018classId,dk018classDescription,unitName,buildingArea,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict,addressPostStreet,addressLocatorDesignator,addressLocatorBuilding,addressLocatorName,registrationStatus,registrationId,registrationDate,constructionReadiness,condition,utilitiesAvailable,validityDate,utilitiesAvailableWaterSupply,utilitiesAvailableHeatingSupply,utilitiesAvailableElectricNetwork,utilitiesAvailableGasSupply
5837-51969,null,null,"10.1220.10.023-Будівлі адміністративні","ОКРЕМО СТОЯЧИЙ","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ДЕСНЯНСЬКОГО РАЙОНУ М.КИЄВА""","39605452",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,20.35,UA80000000000093317,"02222",Україна,м. Київ,null,null,null,"ДЕСНЯНСЬКИЙ","СЕРЖА ЛИФАРЯ (САБУРОВА ОЛЕКСАНДРА)",xxx,null,null,Зареєстровано,"2749562980000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-01-13,true,true,null,false
5853-14738,null,null,null,"ПРИМІЩЕННЯ В Ж/Б",null,Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ШЕВЧЕНКІВСЬКОГО РАЙОНУ М.КИЄВА""","34966254",null,null,null,null,кв. м.,72.2,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","ЯРОСЛАВІВ ВАЛ",xxx,null,null,Зареєстровано,"45123567",null,null,"ЗАДОВІЛЬНИЙ",null,2024-11-12,false,false,null,false
5868-60232,null,"нежитлова будівля (АДМІНБУДИНОК)","10.1220.10.023-Будівлі адміністративні","ОКРЕМО СТОЯЧИЙ",null,Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ШЕВЧЕНКІВСЬКОГО РАЙОНУ М.КИЄВА""","34966254",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,273.0,UA80000000000093317,"03113",Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","БЕРЕСТЕЙСЬКИЙ ПРОСПЕКТ (ПРОСПЕКТ ПЕРЕМОГИ)",xxx,null,null,Зареєстровано,"2255785580000",null,null,"ЗАДОВІЛЬНИЙ",null,2024-06-06,true,false,null,false
5869-60233,null,"нежитлова будівля (ХУДОЖНЯ МАЙСТЕРНЯ)","10.12-Будівлі (приміщення) нежитлові","ОКРЕМО СТОЯЧИЙ",null,Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ШЕВЧЕНКІВСЬКОГО РАЙОНУ М.КИЄВА""","34966254",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,226.5,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","БЕРЕСТЕЙСЬКИЙ ПРОСПЕКТ (ПРОСПЕКТ ПЕРЕМОГИ)",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-29,false,false,null,false
5870-60235,null,"нежитлова будівля (БУДИНОК ПЕРЕКАЧКА)","10.12-Будівлі (приміщення) нежитлові","ОКРЕМО СТОЯЧИЙ",null,Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ШЕВЧЕНКІВСЬКОГО РАЙОНУ М.КИЄВА""","34966254",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,311.7,UA80000000000093317,"03113",Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","БЕРЕСТЕЙСЬКИЙ ПРОСПЕКТ (ПРОСПЕКТ ПЕРЕМОГИ)",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2024-06-06,false,false,null,false
5871-60236,null,"нежитлова будівля (СТОЛЯРНА МАЙСТЕРНЯ, ГАРАЖ ЛІТНІЙ)","10.12-Будівлі (приміщення) нежитлові","ОКРЕМО СТОЯЧИЙ",null,Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ШЕВЧЕНКІВСЬКОГО РАЙОНУ М.КИЄВА""","34966254",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,100.4,UA80000000000093317,"03113",Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","БЕРЕСТЕЙСЬКИЙ ПРОСПЕКТ (ПРОСПЕКТ ПЕРЕМОГИ)",xxx,null,null,Зареєстровано,"2902119480000",null,null,"ЗАДОВІЛЬНИЙ",null,2024-06-04,false,false,null,false
5872-60237,null,"нежитлова будівля (ЦЕНТРАЛЬНИЙ СКЛАД)","10.12-Будівлі (приміщення) нежитлові","ОКРЕМО СТОЯЧИЙ",null,Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ШЕВЧЕНКІВСЬКОГО РАЙОНУ М.КИЄВА""","34966254",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,143.6,UA80000000000093317,"03113",Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","БЕРЕСТЕЙСЬКИЙ ПРОСПЕКТ (ПРОСПЕКТ ПЕРЕМОГИ)",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2024-06-06,false,false,null,false
5873-60238,null,"нежитлова будівля (КАФЕ ""ПАРУС"")","10.1211.50.003-Будівлі кафе","ОКРЕМО СТОЯЧИЙ",null,Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ШЕВЧЕНКІВСЬКОГО РАЙОНУ М.КИЄВА""","34966254",null,null,"10.1211.50.003","Будівлі кафе",кв. м.,174.5,UA80000000000093317,"03113",Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","БЕРЕСТЕЙСЬКИЙ ПРОСПЕКТ (ПРОСПЕКТ ПЕРЕМОГИ)",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2024-06-06,false,false,null,false
5874-60239,null,"нежитлова будівля (САРАЙ)","10.12-Будівлі (приміщення) нежитлові","ОКРЕМО СТОЯЧИЙ",null,Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ШЕВЧЕНКІВСЬКОГО РАЙОНУ М.КИЄВА""","34966254",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,190.0,UA80000000000093317,null,Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","БЕРЕСТЕЙСЬКИЙ ПРОСПЕКТ (ПРОСПЕКТ ПЕРЕМОГИ)",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-05-02,false,false,null,false
5875-60240,null,"нежитлова будівля (СКЛАД)","10.12-Будівлі (приміщення) нежитлові","ОКРЕМО СТОЯЧИЙ",null,Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ ШЕВЧЕНКІВСЬКОГО РАЙОНУ М.КИЄВА""","34966254",null,null,"10.12","Будівлі (приміщення) нежитлові",кв. м.,63.3,UA80000000000093317,"03113",Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","БЕРЕСТЕЙСЬКИЙ ПРОСПЕКТ (ПРОСПЕКТ ПЕРЕМОГИ)",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2024-06-06,false,false,null,false
5886-7380,null,"ШКОЛА N 71","10.1263.30.001-Будівлі шкіл загальноосвітніх","ОКРЕМО СТОЯЧИЙ","ШКОЛА",Київська міська рада,22883141,"УПРАВЛІННЯ ОСВІТИ СОЛОМ'ЯНСЬКОЇ РАЙОННОЇ В МІСТІ КИЄВІ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ","37485490",null,null,"10.1263.30.001","Будівлі шкіл загальноосвітніх",кв. м.,80.2,UA80000000000093317,null,Україна,м. Київ,null,null,null,"СОЛОМ'ЯНСЬКИЙ","ПОЛЬОВИЙ ПРОВ.",xxx,null,null,Зареєстровано,"12365336080000",null,null,"ПОТРЕБУЄ РЕМОНТУ",null,2025-04-01,true,true,null,false
